UID,Status
2019120008,Backlog
2019120021,Backlog
2019120026,Backlog
2019120036,Backlog
2019120049,Backlog
2019120051,Backlog
2019120066,Backlog
2019120067,Backlog
2019120001,Regular
2019120002,Regular
2019120003,Regular
2019120004,Regular
2019120005,Regular
2019120006,Regular
2019120007,Regular
2019120009,Regular
2019120010,Regular
2019120011,Regular
2019120012,Regular
2019120013,Regular
2019120014,Regular
2019120015,Regular
2019120016,Regular
2019120017,Regular
2019120018,Regular
2019120019,Regular
2019120020,Regular
2019120022,Regular
2019120023,Regular
2019120024,Regular
2019120025,Regular
2019120027,Regular
2019120028,Regular
2019120029,Regular
2019120030,Regular
2019120031,Regular
2019120032,Regular
2019120033,Regular
2019120034,Regular
2019120035,Regular
2019120037,Regular
2019120038,Regular
2019120039,Regular
2019120040,Regular
2019120041,Regular
2019120042,Regular
2019120043,Regular
2019120044,Regular
2019120045,Regular
2019120046,Regular
2019120047,Regular
2019120048,Regular
2019120050,Regular
2019120052,Regular
2019120053,Regular
2019120054,Regular
2019120055,Regular
2019120056,Regular
2019120057,Regular
2019120058,Regular
2019120059,Regular
2019120060,Regular
2019120061,Regular
2019120062,Regular
2019120063,Regular
2019120064,Regular
2019120065,Regular
2019120068,Regular
