UID,Sem1,Sem2,Sem3,Sem4,Sem5,Sem6,Sem7,Sem8
2018120014.0,5.35,5.09,8.86,6.58,6.48,5.45,,10
2018120016.0,4.65,5.3,7.62,6.42,6.38,5.15,6,9.88
2018120018.0,5.26,5.35,7.95,7.53,7.52,7.85,8.13,10
2018120047.0,5.17,5.61,8.05,7.21,7.14,7.2,7.56,10
2018120059.0,4.52,4.87,8.71,7.42,7.24,8.57,6.44,
2018120062.0,5.52,5,8.05,8,7.81,7.95,8.5,9.94
2019120001.0,9.85,9.75,10,9.47,9.62,10,9.81,10
2019120002.0,9.4,9.45,10,9.11,8.86,9.86,9.38,9.63
2019120003.0,9.95,10,9.81,9.32,9.05,9.8,9.81,10
2019120004.0,7.2,8.05,9.81,8.47,8.86,8.4,7.56,10
2019120005.0,7.8,8.5,9.81,9.26,8.48,7.43,8.19,7.94
2019120006.0,8.9,9.8,9.62,9.32,8.86,8.8,8.75,9.94
2019120007.0,7.1,8.05,8.62,7.26,6.19,5.35,6.31,10
2019120008.0,6.65,7.45,9.71,9.26,8.76,9.57,7.38,7.75
2019120009.0,8.25,8.6,9.24,8.74,9.24,9.57,8.69,9.81
2019120010.0,8.25,8.8,8.86,8.32,8.38,8.05,7.56,10
2019120011.0,7.85,8.35,9.62,8.05,8.86,9.43,7.94,8.69
2019120012.0,9,9.85,9.81,9.11,8.29,9.25,8.06,9.94
2019120013.0,8.35,8.95,9.43,8.79,9.05,9.29,7.38,8.06
2019120014.0,7.95,9,9.14,8.21,7.9,7.75,8.25,10
2019120015.0,8.2,8.75,9.33,8.79,8.67,9.43,7.94,7.56
2019120016.0,7.9,8.4,9.43,8.68,8.67,8.5,9.19,10
2019120017.0,7.4,8.75,9.62,8.47,8.76,9.57,8.44,9.81
2019120018.0,9.75,9.7,10,8.84,9.81,9.86,10,9.63
2019120019.0,8.4,8.4,9.62,8.79,9.24,8.85,9,9.06
2019120020.0,7.25,8.15,9.62,8.58,8.19,6.86,7.88,8.88
2019120021.0,6.55,6.5,9.81,8.89,8.76,9.29,6.44,7.69
2019120022.0,8.85,8.8,9.48,8.11,8.1,9,8.56,9.56
2019120023.0,8,8.9,9.33,8.58,8.67,9.57,9.06,9.25
2019120024.0,9.55,9.3,10,8.79,9.71,9.86,8.69,10
2019120025.0,9.8,9.85,9.81,9.42,9.24,9.71,8.13,9.25
2019120026.0,,,,,,,,
2019120027.0,9.35,9.55,10,9.84,9.52,10,9.81,10
2019120028.0,6.65,6.75,8.9,8.32,8.1,7.55,7.94,
2019120029.0,7.25,8.5,8.86,8.05,7.43,7.8,9.06,9.06
2019120030.0,9.05,9.7,9.62,8.95,9.43,9.6,8.94,
2019120031.0,7.6,7.9,9.43,8.58,8.38,8.5,9.06,10
2019120032.0,7.4,8.35,9.81,9.05,9.05,9.14,7.19,8.69
2019120033.0,8.25,9.2,9.9,9.11,9.62,9.71,8.31,8.69
2019120034.0,7.45,8.65,9.9,9.42,9.24,9.57,9.25,9.44
2019120035.0,7.45,7.7,8.86,7.68,8.57,7.4,7.56,9.06
2019120036.0,,,,,,,,
2019120037.0,7.7,8.25,9.24,8.63,9.14,9.86,7.94,9.44
2019120038.0,8.45,9.05,9.43,8.79,8.57,9.57,8.13,8.88
2019120039.0,7.35,7.95,9.29,8.47,8.67,8.86,7.56,8.31
2019120040.0,8.6,9.15,9.81,8.68,8.86,9.86,8.5,9.44
2019120041.0,9,9.55,9.81,9.26,9.43,9.57,9.81,10
2019120042.0,9.1,9.4,9.71,9.42,9.24,9.71,9.06,9.06
2019120043.0,7.7,9.1,9.29,8.42,9.05,9.43,8.88,8.31
2019120044.0,8.65,9.2,10,9.53,9.81,9.71,9.63,9.81
2019120045.0,9.5,9.45,9.57,9,9.43,10,8.88,8.88
2019120046.0,9,8.8,9.62,8.53,9.43,9.57,7.75,9.06
2019120047.0,8.6,9.45,10,9.11,9.62,9,8.31,9.25
2019120048.0,8.35,8.8,9.81,9.21,9.43,8.9,8.75,9.06
2019120049.0,6.7,7.55,8.57,7.95,9.24,7.55,7.75,9.06
2019120050.0,10,10,10,9.47,9.24,9.5,9.25,10
2019120051.0,6.85,8.2,8.95,8.42,8.29,7.5,8.81,10
2019120052.0,8.4,9.05,9,8.37,8.48,6.75,7.56,10
2019120053.0,6.1,6.75,9.62,8.47,8.76,7.43,6.25,8.5
2019120054.0,5.85,6.5,9.48,8,8.38,8.29,7.5,7.94
2019120055.0,7.6,8.35,9.62,8.74,8.67,7.75,8.5,8.13
2019120056.0,7.8,8.35,9.81,9.26,9.33,9.71,7.44,9.56
2019120057.0,8,8.15,9.67,8.74,8.95,9.57,8.88,8.13
2019120058.0,7.35,7.75,9.81,9.63,9.14,9.29,7.75,
2019120059.0,9.15,9.3,9.62,9.42,9.43,9.25,9.81,10
2019120060.0,7.4,8.3,9.81,9.11,9.62,9.86,7.94,9.06
2019120061.0,7.1,7.75,8.48,6.95,6.19,6.5,7.75,
2019120062.0,7.65,8.3,9.52,9,9.43,9.29,8.19,9.06
2019120063.0,7.3,8,10,9.63,9.14,9.57,7.94,8.69
2019120064.0,7.9,8.3,9.71,8.42,9.05,9.71,8.69,9.25
2019120065.0,8.85,9.45,9.43,9.21,7.71,8.3,9.44,10
2019120066.0,6.15,7.6,9.14,7.89,7.81,6.35,,10
2019120067.0,,,,,,,,
2019120068.0,8.65,9.45,9.71,8.63,9.43,9.86,8.88,9.25
2020201063.0,,,9.81,9,9.24,9.57,9.06,8.5
2020201064.0,,,9.81,9.24,8.86,7.6,8.44,10
2020201065.0,,,,,,,,
2020201066.0,,,8,7.64,7.33,6.25,7.06,8.13
2020201067.0,,,9.62,8.96,8.95,8.4,9.44,10
2020201068.0,,,9.62,8.92,8.86,7.85,8.5,9.06
2020201069.0,,,7.81,7.2,7.43,7.75,7.56,9.06
2020201070.0,,,9.81,9.56,8.86,9.57,8.31,8.31
2020201071.0,,,,,,,,
2020201072.0,,,9.62,8.72,8.95,8.71,8.13,8.5
2020201073.0,,,9.62,9.72,8.86,8.1,8.88,10
2020201074.0,,,9.62,8.72,8.38,7.25,8.31,10
